Commune;Code INSEE;Année;Sexe;Prénom;Nombre
Cesson-Sévigné;35051.0;2017;M;Eliott;3.0
Cesson-Sévigné;35051.0;2017;M;Léo;3.0
Cesson-Sévigné;35051.0;2017;M;Adam;2.0
Cesson-Sévigné;35051.0;2017;M;Marcel;2.0
Cesson-Sévigné;35051.0;2017;M;Mathis;2.0
Cesson-Sévigné;35051.0;2017;F;Gaëtane;1.0
Cesson-Sévigné;35051.0;2017;F;Gwenaëlle;1.0
Cesson-Sévigné;35051.0;2017;F;Léana;1.0
Cesson-Sévigné;35051.0;2017;F;Lena;1.0
Cesson-Sévigné;35051.0;2017;F;Maëlle;1.0
Cesson-Sévigné;35051.0;2017;F;Victoire;1.0
Cesson-Sévigné;35051.0;2017;M;Aubin;1.0
Cesson-Sévigné;35051.0;2017;M;Aymeric;1.0
Cesson-Sévigné;35051.0;2017;M;Côme;1.0
Cesson-Sévigné;35051.0;2017;M;Eliaz;1.0
Cesson-Sévigné;35051.0;2017;M;Joseph;1.0
Cesson-Sévigné;35051.0;2017;M;Lywen;1.0
Cesson-Sévigné;35051.0;2017;M;Phinéas;1.0
Cesson-Sévigné;35051.0;2017;M;Saâd;1.0
Cesson-Sévigné;35051.0;2016;F;Mila;2.0
Cesson-Sévigné;35051.0;2016;F;Aliya;1.0
Cesson-Sévigné;35051.0;2016;F;Chloë;1.0
Cesson-Sévigné;35051.0;2016;F;Constance;1.0
Cesson-Sévigné;35051.0;2016;F;Inaya;1.0
Cesson-Sévigné;35051.0;2016;F;Juliette;1.0
Cesson-Sévigné;35051.0;2016;F;Leïla;1.0
Cesson-Sévigné;35051.0;2016;F;Maélie;1.0
Cesson-Sévigné;35051.0;2016;F;Marie-Hawa;1.0
Cesson-Sévigné;35051.0;2016;F;Maud;1.0
Cesson-Sévigné;35051.0;2016;F;Méline;1.0
Cesson-Sévigné;35051.0;2016;F;Nyhede;1.0
Cesson-Sévigné;35051.0;2016;F;Rose;1.0
Cesson-Sévigné;35051.0;2016;F;Sana;1.0
Cesson-Sévigné;35051.0;2016;F;Yesmeen;1.0
Cesson-Sévigné;35051.0;2016;F;Zeyneb;1.0
Cesson-Sévigné;35051.0;2016;M;Benjamin;1.0
Cesson-Sévigné;35051.0;2016;M;Bouka;1.0
Cesson-Sévigné;35051.0;2016;M;David;1.0
Cesson-Sévigné;35051.0;2016;M;Djordan;1.0
Cesson-Sévigné;35051.0;2016;M;Imran;1.0
Cesson-Sévigné;35051.0;2016;M;Mahir;1.0
Cesson-Sévigné;35051.0;2016;M;Martim;1.0
Cesson-Sévigné;35051.0;2016;M;Mohamed;1.0
Cesson-Sévigné;35051.0;2016;M;Neal;1.0
Cesson-Sévigné;35051.0;2016;M;Nouradine;1.0
Cesson-Sévigné;35051.0;2016;M;Sohan;1.0
Cesson-Sévigné;35051.0;2016;M;Tao;1.0
Cesson-Sévigné;35051.0;2015;F;Élana;1.0
Cesson-Sévigné;35051.0;2015;F;Eloïz;1.0
Cesson-Sévigné;35051.0;2015;F;Héloïse;1.0
Cesson-Sévigné;35051.0;2015;F;Inès;1.0
Cesson-Sévigné;35051.0;2015;F;Jiajing;1.0
Cesson-Sévigné;35051.0;2015;F;Joy;1.0
Cesson-Sévigné;35051.0;2015;F;Lenaïg;1.0
Cesson-Sévigné;35051.0;2015;F;Line;1.0
Cesson-Sévigné;35051.0;2015;F;Marie;1.0
Cesson-Sévigné;35051.0;2015;F;Rihem;1.0
Cesson-Sévigné;35051.0;2015;M;Armand;1.0
Cesson-Sévigné;35051.0;2015;M;Eden;1.0
Cesson-Sévigné;35051.0;2014;F;Anna;3.0
Cesson-Sévigné;35051.0;2014;F;Capucine;2.0
Cesson-Sévigné;35051.0;2014;M;Pierre;2.0
Cesson-Sévigné;35051.0;2014;F;Alexane;1.0
Cesson-Sévigné;35051.0;2014;F;Charlesne;1.0
Cesson-Sévigné;35051.0;2014;F;Élina;1.0
Cesson-Sévigné;35051.0;2014;F;Jade;1.0
Cesson-Sévigné;35051.0;2014;F;Lison;1.0
Cesson-Sévigné;35051.0;2014;F;Lylou;1.0
Cesson-Sévigné;35051.0;2014;F;Maëlyne;1.0
Cesson-Sévigné;35051.0;2014;F;Maïa;1.0
Cesson-Sévigné;35051.0;2014;F;Marie;1.0
Cesson-Sévigné;35051.0;2014;F;Mélissa;1.0
Cesson-Sévigné;35051.0;2014;F;Sali;1.0
Cesson-Sévigné;35051.0;2014;F;Zoé;1.0
Cesson-Sévigné;35051.0;2014;M;Kenzo;1.0
Cesson-Sévigné;35051.0;2014;M;Kevin;1.0
Cesson-Sévigné;35051.0;2014;M;Mathéo;1.0
Cesson-Sévigné;35051.0;2014;M;Milo;1.0
Cesson-Sévigné;35051.0;2014;M;Morgan;1.0
Cesson-Sévigné;35051.0;2014;M;Noha;1.0
Cesson-Sévigné;35051.0;2014;M;Raphael-Aiman;1.0
Cesson-Sévigné;35051.0;2014;M;Sixte;1.0
Cesson-Sévigné;35051.0;2014;M;Yanis;1.0
Cesson-Sévigné;35051.0;2013;F;Adèle;2.0
Cesson-Sévigné;35051.0;2013;F;Valentine;2.0
Cesson-Sévigné;35051.0;2013;F;Clémence;1.0
Cesson-Sévigné;35051.0;2013;F;Hortense;1.0
Cesson-Sévigné;35051.0;2013;F;Inessia;1.0
Cesson-Sévigné;35051.0;2013;M;Hayden;1.0
