datasetid;recordid;record_timestamp;titre;commune;auteur;code_insee;nombre_de_prets_2017
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;21bc46cdf1a5036533b44082aed3341267dbc968;2018-07-11T14:46:04+02:00;Star Wars : le retour du Jedi;Cesson-Sévigné;Kershner Irvin;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;55652bc1f604563d960c796cb60f38ff0db07885;2018-07-11T14:46:04+02:00;Blanche Neige et le chasseur;Cesson-Sévigné;Sanders Rupert;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;37c35789c5478dae138b3e56b25c1680e3824304;2018-07-11T14:46:04+02:00;Apocalypse now redux;Cesson-Sévigné;Coppola Francis Ford;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;c4b074d815f6fa023fd6541b02d4da133c244ccb;2018-07-11T14:46:04+02:00;Good Wife (The) : Saison 4;Cesson-Sévigné;King Robert;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;09067c69947c9ddc4c4bb685fc6708dab0af5f2f;2018-07-11T14:46:04+02:00;Biutiful;Cesson-Sévigné;Gonzalez Inarritu Alejandro;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;fc881b51deee2920d5d8b3d3c0fad04784bd5091;2018-07-11T14:46:04+02:00;Tous les soleils;Cesson-Sévigné;Claudel Philippe;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;3d5022a014a61bd85735ca8adcb1020475fed93b;2018-07-11T14:46:04+02:00;Timbuktu;Cesson-Sévigné;Sissako Abderrahmane;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;6a22e49628e870dccc38eb8f6f77d630a82c256f;2018-07-11T14:46:04+02:00;Le Lien;Cesson-Sévigné;Malleval Denis;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;12b538498e05da7aa55721e5515406ca5c544a20;2018-07-11T14:46:04+02:00;Potiche;Cesson-Sévigné;Ozon François;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;f5b01ba6992ef699980b58a9288be94b025def16;2018-07-11T14:46:04+02:00;Downton Abbey : Saison 3;Cesson-Sévigné;Percival Brian;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;24591e5fad70f5c869a50908760980c7d3ba2985;2018-07-11T14:46:04+02:00;Exodus : Gods and kings;Cesson-Sévigné;Scott Ridley;35051.0;8.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7b224d5251c5bb41eb425efb72180aea417b5975;2018-07-11T14:46:04+02:00;De rouille et d'os;Cesson-Sévigné;Audiard Jacques;35051.0;8.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a682b6bd303b665c51017e46dda37883d2a68a7e;2018-07-11T14:46:04+02:00;L' Echappée belle;Cesson-Sévigné;Cherpitel Emilie;35051.0;8.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;cbff6f0c984165159dcd085a04ad3f605b2ea4a0;2018-07-11T14:46:04+02:00;Ne te retourne pas;Cesson-Sévigné;Van Marina de;35051.0;8.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;96a13ad6cd5c3f8eb8a72b47797a5d75c9342f01;2018-07-11T14:46:04+02:00;Les Noces rebelles;Cesson-Sévigné;Mendes Sam;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7da5b5f9bbfa39fd3182d84199d9618397e105f8;2018-07-11T14:46:04+02:00;Citizen Kane;Cesson-Sévigné;Welles Orson;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;04bc77cbe4baf20da490905848f5e3b1617735fd;2018-07-11T14:46:04+02:00;Trepalium;Cesson-Sévigné;Lannoo Vincent;35051.0;8.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;bafa5b317387b9123ac9e4d7aeb3d24101d0a070;2018-07-11T14:46:04+02:00;ReGenesis;Cesson-Sévigné;L'Ecuyer John;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;6e60a1718e59f3c9cddd51509eb04ede3e4641ec;2018-07-11T14:46:04+02:00;The Town;Cesson-Sévigné;Affleck Ben;35051.0;8.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7a065a328234cba5ca64155af880c7601c5623b0;2018-07-11T14:46:04+02:00;Les neiges du Kilimandjaro;Cesson-Sévigné;Guédiguian Robert;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;39778c6431faa5d0f9cd9a4d24652967825950e7;2018-07-11T14:46:04+02:00;Au-delà des collines;Cesson-Sévigné;Mungiu Cristian;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;67347b5bcba509333c9c889474a0fd16693bc958;2018-07-11T14:46:04+02:00;La terre outragée;Cesson-Sévigné;Boganim Michale;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;9a6611a2a2863cee3af2407ecd2da0fcaa6e10e2;2018-07-11T14:46:04+02:00;Borgen : saison 2;Cesson-Sévigné;Johansen Jannik;35051.0;7.0
